주차장관리번호,주차장명,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,요금정보,위도,경도
406-2-000048,외돌개 공영주차장,노외,제주특별자치도 서귀포시 남성로 65 (서홍동),제주특별자치도 서귀포시 서홍동 780-1,30,무료,33.24153618,126.5474759
406-2-000049,군민체육관 공영주차장,노외,제주특별자치도 서귀포시 남원읍 태위로 551-27,제주특별자치도 서귀포시 남원읍 남원리 2337-1,52,무료,33.27740522,126.7033506
406-2-000050,표선의례회관 앞 공영주차장,노외,,제주특별자치도 서귀포시 표선면 표선리 2103,165,무료,33.327011,126.8234824
406-2-000051,국토교통인재개발원 동측 공영주차장,노외,,제주특별자치도 서귀포시 서호동 1603,110,무료,33.252158,126.515699
406-2-000052,홍로공영주차빌딩,노외,제주특별자치도 서귀포시 장수로 57 (동홍동),제주특별자치도 서귀포시 동홍동 1480-6,245,혼합,33.25595698,126.561302
406-2-000053,표선공영주차빌딩,노외,제주특별자치도 서귀포시 표선면 표선중앙로 74-1,제주특별자치도 서귀포시 표선면 표선리 701,169,혼합,33.326236,126.831774
406-2-000054,정방공영주차빌딩,노외,제주특별자치도 서귀포시 태평로431번길 23 (서귀동),제주특별자치도 서귀포시 서귀동 403-6,137,혼합,33.24771548,126.5657547
406-2-000055,나포리호텔 아래 공영주차장,노외,,제주특별자치도 서귀포시 서귀동 600-3,3,무료,33.243655,126.5628782
406-2-000056,자구리 공영주차장,노외,,제주특별자치도 서귀포시 서귀동 28-3,62,혼합,33.242873,126.566663
406-2-000057,이중섭거리 공영주차장,노외,,제주특별자치도 서귀포시 서귀동 550,24,무료,33.245253,126.5649581
406-2-000058,서홍공영노외1주차장(서홍동주민센터 북서측),노외,,제주특별자치도 서귀포시 서홍동 397-4,48,혼합,33.25630767,126.5593513
406-2-000059,효돈중학교 북측 공영주차장,노외,,제주특별자치도 서귀포시 하효동 11-2,22,무료,33.26634521,126.620924
406-2-000060,표선 시가지내 공영주차장,노외,,제주특별자치도 서귀포시 표선면 표선리 634-28,21,무료,33.325078,126.833875
406-2-000061,효돈동주민센터 남측 공영주차장,노외,,제주특별자치도 서귀포시 하효동 149,93,무료,33.26315958,126.6162392
406-2-000062,중앙여중 후문 공영주차장,노외,,제주특별자치도 서귀포시 동홍동 1530-12,25,무료,33.25502147,126.5636737
406-2-000063,동홍 공영노외1주차장,노외,,제주특별자치도 서귀포시 동홍동 514-2,102,혼합,33.25616185,126.5684382
406-2-000064,동홍 공영노외2주차장,노외,,제주특별자치도 서귀포시 동홍동 429,28,혼합,33.25181564,126.5694961
